|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#Hidden1_ActMAvg	#Hidden1_ActMMax	#Hidden1_MaxGeM	#Hidden1_CorDiff	#Hidden1_GiMult	#Hidden2_ActMAvg	#Hidden2_ActMMax	#Hidden2_MaxGeM	#Hidden2_CorDiff	#Hidden2_GiMult	#Output_ActMAvg	#Output_ActMMax	#Output_MaxGeM	#Output_CorDiff	#Output_GiMult	#Input_ActAvg	#Hidden1_PCA_NStrong	#Hidden1_PCA_Top5	#Hidden1_PCA_Next5	#Hidden1_PCA_Rest	#Hidden2_PCA_NStrong	#Hidden2_PCA_Top5	#Hidden2_PCA_Next5	#Hidden2_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	27	Base	0.9352	0.005	0.125	0.875	0.9203	0.01875	0.8125	0.1875	10.79	0.07504	0.6666	1.303	0.007872	1	0.07343	0.5468	1.033	0.03298	1	0.2617	0.9805	1.067	0.06477	1	0.2194	24	0.2576	0.1187	0.007354	23	0.1501	0.07645	0.004662	17	0.2128	0.09799	0.01463
0	28	Base	0.9344	0.00875	0.09375	0.9062	0.9203	0.01875	0.8125	0.1875	10.7	0.07497	0.6728	1.309	0.006918	1	0.07319	0.5465	1.037	0.02824	1	0.2624	0.9775	1.07	0.06555	1	0.2196	24	0.2576	0.1187	0.007354	23	0.1501	0.07645	0.004662	17	0.2128	0.09799	0.01463
0	29	Base	0.9444	0.005	0.125	0.875	0.9404	0.00875	0.875	0.125	12.64	0.07495	0.6559	1.321	0.008182	1	0.07303	0.5548	1.049	0.03021	1	0.259	0.9734	1.081	0.05559	1	0.22	24	0.2576	0.1187	0.007354	23	0.1501	0.07645	0.004662	17	0.2128	0.09799	0.01463
0	30	Base	0.9536	0.00625	0.125	0.875	0.9404	0.00875	0.875	0.125	10.65	0.07464	0.6754	1.326	0.006765	1	0.07384	0.5558	1.048	0.02781	1	0.2593	0.9811	1.085	0.04638	1	0.2202	20	0.2767	0.1455	0.006508	19	0.1686	0.09263	0.004174	16	0.2711	0.1159	0.01494
0	31	Base	0.9525	0.00375	0.0625	0.9375	0.9404	0.00875	0.875	0.125	10.8	0.07543	0.679	1.334	0.008205	1	0.07345	0.5503	1.056	0.027	1	0.2554	0.9787	1.09	0.0475	1	0.2203	20	0.2767	0.1455	0.006508	19	0.1686	0.09263	0.004174	16	0.2711	0.1159	0.01494
0	32	Base	0.9512	0.005	0.09375	0.9062	0.9404	0.00875	0.875	0.125	10.56	0.07593	0.6808	1.34	0.008235	1	0.07356	0.5628	1.059	0.03047	1	0.257	0.9755	1.093	0.04885	1	0.2205	20	0.2767	0.1455	0.006508	19	0.1686	0.09263	0.004174	16	0.2711	0.1159	0.01494
0	33	Base	0.9525	0.005	0.09375	0.9062	0.9404	0.00875	0.875	0.125	10.65	0.07651	0.6866	1.344	0.007291	1	0.07295	0.5617	1.067	0.02448	1	0.2608	0.9898	1.094	0.04746	1	0.2207	20	0.2767	0.1455	0.006508	19	0.1686	0.09263	0.004174	16	0.2711	0.1159	0.01494
0	34	Base	0.9511	0.005	0.09375	0.9062	0.9535	0.00125	0.9688	0.03125	12.6	0.07584	0.6793	1.353	0.006549	1	0.07333	0.57	1.072	0.02668	1	0.256	0.9793	1.103	0.04893	1	0.2209	20	0.2767	0.1455	0.006508	19	0.1686	0.09263	0.004174	16	0.2711	0.1159	0.01494
0	35	Base	0.95	0.00875	0.1562	0.8438	0.9535	0.00125	0.9688	0.03125	10.72	0.07564	0.6955	1.358	0.007209	1	0.07355	0.5729	1.076	0.02475	1	0.2607	0.9845	1.103	0.04996	1	0.221	24	0.2643	0.1444	0.007958	23	0.1695	0.09511	0.005056	18	0.2649	0.1195	0.01812
0	36	Base	0.9478	0.00625	0.125	0.875	0.9535	0.00125	0.9688	0.03125	10.44	0.0758	0.6768	1.362	0.007061	1	0.07356	0.562	1.079	0.02375	1	0.258	0.9799	1.107	0.05223	1	0.2211	24	0.2643	0.1444	0.007958	23	0.1695	0.09511	0.005056	18	0.2649	0.1195	0.01812
0	37	Base	0.9577	0.00375	0.0625	0.9375	0.9535	0.00125	0.9688	0.03125	10.5	0.07661	0.701	1.366	0.007002	1	0.07417	0.5805	1.088	0.02054	1	0.2537	0.9802	1.11	0.04235	1	0.2212	24	0.2643	0.1444	0.007958	23	0.1695	0.09511	0.005056	18	0.2649	0.1195	0.01812
0	38	Base	0.9608	0.00125	0.03125	0.9688	0.9535	0.00125	0.9688	0.03125	10.6	0.07604	0.7044	1.371	0.006446	1	0.07395	0.5717	1.09	0.02204	1	0.2535	0.9792	1.111	0.03917	1	0.2213	24	0.2643	0.1444	0.007958	23	0.1695	0.09511	0.005056	18	0.2649	0.1195	0.01812
0	39	Base	0.96	0.00375	0.09375	0.9062	0.959	0.0025	0.9375	0.0625	12.57	0.07629	0.6914	1.379	0.007166	1	0.07323	0.5777	1.097	0.02131	1	0.2561	0.9878	1.115	0.04005	1	0.2214	24	0.2643	0.1444	0.007958	23	0.1695	0.09511	0.005056	18	0.2649	0.1195	0.01812
0	40	Base	0.9624	0.00125	0.03125	0.9688	0.959	0.0025	0.9375	0.0625	10.52	0.07664	0.7003	1.384	0.005926	1	0.07419	0.5797	1.099	0.01999	1	0.258	0.9917	1.118	0.03758	1	0.2214	20	0.3151	0.1524	0.006273	20	0.1988	0.09904	0.00402	17	0.2949	0.1143	0.01642
0	41	Base	0.9605	0.0025	0.0625	0.9375	0.959	0.0025	0.9375	0.0625	10.53	0.07656	0.6925	1.389	0.006171	1	0.07358	0.5915	1.106	0.01794	1	0.252	0.9934	1.119	0.03954	1	0.2215	20	0.3151	0.1524	0.006273	20	0.1988	0.09904	0.00402	17	0.2949	0.1143	0.01642
0	42	Base	0.9577	0.0025	0.0625	0.9375	0.959	0.0025	0.9375	0.0625	10.45	0.07676	0.7049	1.391	0.006068	1	0.07406	0.5734	1.112	0.02369	1	0.256	0.9839	1.124	0.04233	1	0.2215	20	0.3151	0.1524	0.006273	20	0.1988	0.09904	0.00402	17	0.2949	0.1143	0.01642
0	43	Base	0.9703	0	0	1	0.959	0.0025	0.9375	0.0625	10.27	0.07618	0.7057	1.395	0.005172	1	0.07343	0.5834	1.114	0.01613	1	0.254	0.9963	1.127	0.02969	1	0.2216	20	0.3151	0.1524	0.006273	20	0.1988	0.09904	0.00402	17	0.2949	0.1143	0.01642
0	44	Base	0.97	0.00125	0.03125	0.9688	0.9676	0.0025	0.9375	0.0625	12.32	0.07682	0.7062	1.404	0.005644	1	0.07353	0.5933	1.124	0.01662	1	0.2515	0.993	1.131	0.03004	1	0.2216	20	0.3151	0.1524	0.006273	20	0.1988	0.09904	0.00402	17	0.2949	0.1143	0.01642
0	45	Base	0.9661	0	0	1	0.9676	0.0025	0.9375	0.0625	10.67	0.07726	0.7074	1.409	0.005708	1	0.07429	0.5932	1.126	0.01833	1	0.255	0.9913	1.131	0.03392	1	0.2217	23	0.308	0.1482	0.008264	23	0.2055	0.09122	0.00535	18	0.3067	0.1335	0.02283
0	46	Base	0.9682	0	0	1	0.9676	0.0025	0.9375	0.0625	10.34	0.07727	0.705	1.412	0.005763	1	0.07392	0.591	1.128	0.01715	1	0.2516	0.9877	1.132	0.03176	1	0.2217	23	0.308	0.1482	0.008264	23	0.2055	0.09122	0.00535	18	0.3067	0.1335	0.02283
