|Run	|Epoch	|Trial	$TrialName	#Err	#SSE	#AvgSSE	#CosDiff
0	7	0	evt_12	1	0.7732	0.03093	0.8712
0	7	1	evt_7	1	2.507	0.1003	0.6157
0	7	2	evt_14	1	0.5797	0.02319	0.9118
0	7	3	evt_10	1	3.956	0.1583	0.3805
0	7	4	evt_16	1	2.892	0.1157	0.5806
0	7	5	evt_19	1	5.578	0.2231	0.1872
0	7	6	evt_15	1	0.8329	0.03332	0.8904
0	7	7	evt_0	1	1.357	0.05429	0.7603
0	7	8	evt_9	1	2.682	0.1073	0.6151
0	7	9	evt_13	1	0.4962	0.01985	0.8541
0	7	10	evt_2	1	3.495	0.1398	0.4701
0	7	11	evt_4	1	2.512	0.1005	0.6316
0	7	12	evt_17	1	0.5907	0.02363	0.8984
0	7	13	evt_23	1	0.82	0.0328	0.8308
0	7	14	evt_21	1	2.227	0.08909	0.7007
0	7	15	evt_6	1	2.269	0.09078	0.6405
0	7	16	evt_8	1	0.5345	0.02138	0.8857
0	7	17	evt_3	1	2.567	0.1027	0.6208
0	7	18	evt_22	1	4.266	0.1706	0.3507
0	7	19	evt_18	1	3.492	0.1397	0.4833
0	7	20	evt_5	1	0.8604	0.03442	0.8552
0	7	21	evt_20	1	1.064	0.04256	0.8041
0	7	22	evt_1	1	0.8763	0.03505	0.8716
0	7	23	evt_11	1	1.387	0.05548	0.7556
0	8	0	evt_2	1	0.7534	0.03014	0.7429
0	8	1	evt_5	1	0.5287	0.02115	0.8732
0	8	2	evt_15	1	0.7478	0.02991	0.8971
0	8	3	evt_18	1	1.722	0.06889	0.6827
0	8	4	evt_20	1	1.026	0.04105	0.8082
0	8	5	evt_23	1	0.5428	0.02171	0.8328
0	8	6	evt_13	1	0.652	0.02608	0.866
0	8	7	evt_12	1	1.396	0.05582	0.7941
0	8	8	evt_17	1	0.6077	0.02431	0.9101
0	8	9	evt_21	1	2.154	0.08617	0.718
0	8	10	evt_22	1	2.264	0.09056	0.6072
0	8	11	evt_0	1	1.16	0.04638	0.7763
0	8	12	evt_7	1	1.95	0.078	0.6917
0	8	13	evt_9	1	3.398	0.1359	0.5024
0	8	14	evt_6	1	1.742	0.06968	0.7442
0	8	15	evt_1	1	0.7059	0.02824	0.8908
0	8	16	evt_16	1	2.202	0.08808	0.6387
0	8	17	evt_10	1	2.867	0.1147	0.5346
0	8	18	evt_14	1	0.5605	0.02242	0.907
0	8	19	evt_3	1	1.07	0.0428	0.7821
0	8	20	evt_4	1	2.664	0.1066	0.643
0	8	21	evt_8	1	0.4217	0.01687	0.9244
0	8	22	evt_11	1	1.012	0.04049	0.7998
0	8	23	evt_19	1	3.673	0.1469	0.4283
0	9	0	evt_10	1	2.686	0.1074	0.5688
0	9	1	evt_18	1	1.514	0.06057	0.7328
0	9	2	evt_22	1	2.19	0.08759	0.6529
0	9	3	evt_19	1	2.767	0.1107	0.5632
0	9	4	evt_14	1	0.5463	0.02185	0.8977
0	9	5	evt_0	1	1.131	0.04523	0.8227
0	9	6	evt_2	1	0.7226	0.0289	0.8228
0	9	7	evt_8	1	0.3987	0.01595	0.916
0	9	8	evt_5	1	0.5388	0.02155	0.904
0	9	9	evt_3	1	0.9747	0.03899	0.808
0	9	10	evt_12	1	0.348	0.01392	0.8712
0	9	11	evt_17	1	0.6213	0.02485	0.9085
0	9	12	evt_16	1	1.671	0.06682	0.6922
0	9	13	evt_1	1	0.747	0.02988	0.8396
0	9	14	evt_15	1	0.4076	0.0163	0.9199
0	9	15	evt_4	1	2.488	0.09951	0.6658
